Angle	Impulses	Fit(Impulses)
a/º	Z/#/0,2s	Z/#/0,2s

-5,0	1,0	0,0
-4,9	2,0	0,0
-4,8	1,0	0,0
-4,7	1,0	0,0
-4,6	1,0	0,0
-4,5	1,0	0,0
-4,4	1,0	0,0
-4,3	1,0	0,0
-4,2	1,0	0,0
-4,1	1,0	0,0
-4,0	1,0	0,0
-3,9	1,0	0,0
-3,8	1,1	0,0
-3,6	1,0	0,1
-3,5	1,0	0,1
-3,4	1,0	0,1
-3,3	1,1	0,2
-3,2	1,0	0,3
-3,1	2,0	0,5
-3,0	1,0	0,7
-2,8	1,0	1,4
-2,7	1,0	1,9
-2,6	1,0	2,7
-2,5	1,6	3,7
-2,3	3,0	6,9
-2,2	3,8	9,3
-2,1	2,0	12,3
-2,0	8,0	16,1
-1,9	6,0	20,8
-1,8	10,0	26,7
-1,7	10,3	33,8
-1,6	43,0	42,4
-1,5	47,0	52,6
-1,4	40,5	64,6
-1,3	39,8	78,4
-1,2	110,0	94,1
-1,1	106,0	111,8
-1,0	142,0	131,3
-0,9	148,2	152,6
-0,8	166,8	175,5
-0,7	270,0	199,6
-0,6	243,0	224,5
-0,5	238,7	249,9
-0,4	320,0	275,1
-0,3	320,0	299,6
-0,2	329,0	322,7
-0,1	337,0	343,8
0,0	352,8	362,4
0,1	370,0	377,9
0,2	330,0	389,8
0,3	385,4	397,7
0,4	379,0	401,3
0,6	392,0	395,7
0,7	362,0	386,6
0,8	410,8	373,5
0,9	318,0	357,1
1,0	333,0	337,7
1,1	335,6	315,8
1,2	345,4	292,2
1,3	268,0	267,5
1,5	231,5	216,9
1,6	253,5	192,2
1,7	200,6	168,4
1,8	146,0	146,0
1,9	119,5	125,2
2,0	75,3	106,2
2,2	34,0	74,0
2,3	23,0	60,7
2,4	25,0	49,3
2,5	25,3	39,6
2,6	2,0	31,5
2,7	2,0	24,8
2,8	1,5	19,3
3,0	1,0	11,3
3,1	1,0	8,5
3,2	2,0	6,3
3,3	1,0	4,7
3,4	1,0	3,4
3,5	1,0	2,4
3,6	1,0	1,7
3,8	1,0	0,9
3,9	2,0	0,6
4,0	2,0	0,4
4,1	1,0	0,3
4,2	2,0	0,2
4,3	1,0	0,1
4,4	1,0	0,1
4,6	1,0	0,0
4,7	1,0	0,0
4,8	1,0	0,0
4,9	1,0	0,0
