Angle	Impulses
a/º	Z/#/0,2s

-5,0	2,0
-4,9	2,0
-4,8	1,5
-4,7	2,6
-4,6	6,0
-4,5	4,0
-4,4	3,0
-4,3	3,9
-4,2	6,0
-4,1	8,0
-4,0	14,8
-3,9	11,4
-3,8	51,0
-3,6	35,5
-3,5	49,5
-3,4	102,8
-3,3	172,0
-3,2	176,5
-3,1	169,9
-3,0	281,0
-2,9	347,0
-2,8	315,0
-2,7	334,5
-2,6	327,8
-2,5	465,0
-2,4	474,0
-2,3	514,1
-2,1	550,0
-2,0	521,0
-1,9	550,5
-1,8	550,0
-1,7	629,0
-1,6	599,5
-1,5	593,5
-1,3	609,0
-1,2	604,0
-1,1	605,0
-1,0	623,5
-0,9	635,5
-0,8	582,0
-0,7	655,9
-0,6	670,0
-0,5	597,0
-0,4	642,0
-0,3	663,0
-0,2	666,4
-0,1	688,5
0,0	655,0
0,1	661,0
0,2	624,1
0,4	569,0
0,5	639,5
0,6	620,0
0,7	644,9
0,8	660,0
0,9	657,8
1,0	630,6
1,1	611,0
1,3	655,0
1,4	687,5
1,5	647,4
1,6	610,0
1,7	635,0
1,8	650,1
2,0	564,0
2,1	649,0
2,2	626,0
2,3	652,0
2,4	560,0
2,5	577,5
2,6	572,3
2,8	477,0
2,9	520,0
3,0	456,0
3,1	472,5
3,2	459,3
3,3	346,0
3,4	330,7
3,5	273,2
3,7	161,0
3,8	156,0
3,9	162,5
4,0	135,2
4,1	30,0
4,2	33,1
4,3	23,5
4,5	3,0
4,6	6,0
4,7	4,0
4,8	3,2
4,9	2,2
5,0	1,0
