Angle	Impulses
a/º	Z/#/0,2s

8,1	228,0
8,2	200,0
8,4	135,0
8,5	115,5
8,7	69,0
8,9	65,0
9,0	68,0
9,2	33,0
9,3	37,5
9,5	40,0
9,7	38,0
9,8	19,0
9,9	22,0
10,0	26,0
10,1	30,0
10,3	22,0
10,5	19,0
10,6	22,0
10,7	21,0
10,8	14,0
10,9	10,0
11,1	12,0
11,2	14,0
11,4	10,0
11,5	8,0
11,6	6,0
11,7	13,0
11,8	19,0
12,0	11,0
12,2	13,0
12,3	14,0
12,4	13,0
12,5	22,0
12,6	24,0
12,8	17,0
13,0	17,0
13,1	22,0
13,2	25,0
13,3	28,0
13,4	28,0
13,6	21,0
13,7	19,0
13,9	27,0
14,0	31,0
14,2	38,0
14,4	53,0
14,6	32,0
14,7	47,0
14,8	45,5
15,0	47,0
15,2	46,0
15,4	44,0
15,5	67,0
15,6	53,0
15,8	53,0
16,0	52,0
16,1	56,0
16,3	78,0
16,4	84,0
16,6	79,0
16,8	66,0
16,9	79,0
17,1	105,0
17,2	86,0
17,5	103,0
17,6	95,0
17,8	93,0
17,9	108,0
18,0	110,0
18,3	92,0
18,4	106,0
18,6	124,0
18,7	113,0
18,8	117,0
19,0	118,0
19,2	129,0
19,4	143,0
19,5	139,0
19,6	145,5
19,8	155,0
20,0	152,0
20,1	128,0
20,3	159,5
20,4	143,0
20,6	149,0
20,8	145,0
20,9	156,0
21,0	152,0
21,1	166,0
21,2	164,0
21,4	157,0
21,6	157,0
21,7	171,0
21,9	150,5
22,0	170,0
22,2	166,0
22,4	160,0
22,5	169,0
22,6	144,0
22,7	172,0
23,0	172,0
23,2	181,0
23,3	173,0
23,4	168,0
23,5	180,5
23,8	195,0
24,0	169,0
24,1	167,0
24,2	184,0
24,3	210,5
24,5	186,0
24,8	189,0
24,9	177,0
25,0	182,0
25,1	178,5
25,4	161,0
25,6	187,0
25,7	163,0
25,8	165,0
25,9	165,0
26,0	156,0
26,2	147,0
26,4	151,0
26,5	183,0
26,6	147,0
26,7	156,0
26,8	147,0
27,0	150,0
27,2	166,0
27,3	147,0
27,4	139,0
27,5	164,0
27,8	143,0
28,0	163,0
28,1	162,0
28,2	137,0
28,3	152,5
28,5	158,0
28,8	149,0
28,9	141,0
29,0	162,0
29,1	151,0
29,4	135,0
29,6	158,0
29,7	141,0
29,8	154,0
29,9	151,0
30,2	160,0
30,4	147,0
30,5	144,0
30,6	156,0
30,7	141,5
30,9	142,0
31,1	151,0
31,3	137,0
31,4	142,0
31,5	141,5
31,7	146,0
32,0	134,0
32,1	140,0
32,2	144,0
32,3	131,5
32,5	147,0
32,7	118,0
32,9	144,0
33,0	123,0
33,1	135,0
33,3	145,0
33,5	118,0
33,7	132,0
33,8	125,0
34,1	109,0
34,3	120,0
34,5	119,0
34,6	128,0
34,9	113,0
35,1	123,0
35,2	105,0
35,4	113,0
35,7	126,0
35,9	114,0
36,0	111,0
36,1	126,0
36,2	117,0
36,4	134,0
36,7	114,0
36,8	117,0
36,9	119,0
37,0	109,5
37,2	116,0
37,5	105,0
37,6	122,0
37,7	113,0
37,8	115,0
38,1	130,0
38,3	123,0
38,5	140,0
38,6	299,0
38,8	586,0
39,1	602,0
39,2	608,0
39,3	644,0
39,4	662,0
39,7	476,0
39,9	469,0
40,0	452,0
40,2	189,0
40,4	132,0
40,7	123,0
40,8	111,0
40,9	87,0
