Angle	Impulses
a/º	Z/#/0,2s

9,2	34,0
9,3	33,0
9,5	22,0
9,6	34,0
9,7	27,0
9,9	20,0
10,0	23,0
10,2	21,0
10,4	21,0
10,5	14,0
10,7	11,0
10,8	13,0
11,0	9,0
11,2	9,0
11,3	7,0
11,4	7,0
11,5	6,0
11,6	8,0
11,8	10,0
12,0	10,0
12,1	9,0
12,2	9,0
12,3	7,0
12,4	6,0
12,6	8,0
12,8	10,0
12,9	9,0
13,1	3,0
13,2	6,5
13,4	12,0
13,6	8,0
13,7	5,0
13,9	5,5
14,0	7,0
14,2	4,0
14,4	5,0
14,5	5,0
14,7	6,0
14,8	7,0
15,0	12,0
15,2	7,0
15,3	8,0
15,4	9,0
15,5	9,0
15,6	5,0
15,8	6,0
16,0	13,0
16,1	8,0
16,2	4,0
16,3	4,0
16,4	4,0
16,6	8,0
16,8	6,0
16,9	8,0
17,0	5,0
17,1	7,0
17,4	8,0
17,6	9,0
17,7	6,0
17,8	8,0
17,9	8,0
18,0	5,0
18,2	9,0
18,4	9,0
18,5	7,0
18,6	10,0
18,7	14,0
18,8	11,0
19,0	17,0
19,2	13,0
19,3	15,0
19,4	11,0
19,5	11,0
19,6	17,0
19,8	6,0
20,0	22,0
20,1	15,0
20,2	16,0
20,3	15,0
20,4	18,0
20,6	21,0
20,8	20,0
20,9	15,0
21,0	23,0
21,1	20,0
21,2	21,0
21,4	32,0
21,6	17,0
21,7	26,0
21,8	25,0
21,9	35,0
22,0	39,0
22,2	65,0
22,4	52,0
22,5	90,0
22,6	101,0
22,7	120,0
22,8	109,0
23,0	138,0
23,2	141,0
23,3	106,0
23,4	70,0
23,5	42,5
23,8	34,0
24,0	31,0
24,1	39,0
24,2	46,0
24,3	68,5
24,6	74,0
24,8	78,0
24,9	174,0
25,0	289,0
25,1	344,0
25,4	387,0
25,6	420,0
25,7	420,0
25,8	425,5
25,9	273,0
26,2	102,0
26,4	91,0
26,5	54,0
26,6	19,5
26,7	16,0
27,0	29,0
27,2	18,0
27,3	23,0
27,4	22,0
27,5	20,0
27,8	18,0
27,9	20,0
28,1	13,0
28,2	23,5
28,3	21,0
28,6	12,0
28,8	15,0
28,9	19,0
29,0	14,5
29,1	13,0
29,4	18,0
29,6	18,0
29,7	13,0
29,8	16,5
29,9	20,0
30,2	22,0
30,4	14,0
30,5	20,0
30,6	28,5
30,7	19,0
31,0	16,0
31,2	26,0
31,3	21,0
31,4	27,0
31,5	35,0
31,8	29,0
32,0	19,0
32,1	24,0
32,2	26,0
32,3	24,0
32,6	25,0
32,7	29,0
32,9	27,0
33,0	28,0
33,1	17,0
33,3	29,0
33,5	20,0
33,7	17,0
33,8	19,5
33,9	16,0
34,1	25,0
34,3	16,0
34,5	27,0
34,6	21,5
34,9	20,0
35,1	20,0
35,3	24,0
35,4	18,0
35,7	17,0
35,9	24,0
36,0	24,0
36,1	25,0
36,2	20,0
36,4	19,0
36,7	30,0
36,8	23,0
36,9	28,5
37,0	18,0
37,3	17,0
37,5	29,0
37,6	14,0
37,7	19,5
37,8	23,0
38,1	26,0
38,3	13,0
38,4	28,0
38,5	22,0
38,6	14,0
38,9	20,0
39,1	21,0
39,2	16,0
39,3	22,5
39,4	31,0
39,7	18,0
39,9	14,0
40,0	19,0
40,1	22,5
40,2	13,0
40,5	15,0
40,7	21,0
40,8	28,0
40,9	19,0
41,0	28,0
