Angle	Impulses
a/º	Z/#/0,2s

8,1	2,0
8,2	5,0
8,3	2,0
8,4	2,0
8,5	1,0
8,7	1,0
8,9	4,0
9,0	2,0
9,1	3,0
9,2	2,0
9,3	1,0
9,5	1,0
9,6	1,0
9,8	2,0
9,9	1,0
10,0	3,0
10,3	3,0
10,4	1,0
10,5	2,0
10,7	2,0
10,8	2,0
11,1	1,0
11,2	2,0
11,3	3,0
11,5	3,0
11,6	2,5
11,8	2,0
12,0	2,0
12,1	4,0
12,3	1,0
12,4	2,5
12,7	2,0
12,8	3,0
12,9	3,0
13,1	3,0
13,2	2,5
13,5	5,0
13,6	5,0
13,7	6,0
13,9	6,0
14,0	3,0
14,3	4,0
14,4	2,0
14,6	6,0
14,7	8,0
14,8	6,0
15,1	5,0
15,2	7,0
15,3	5,0
15,5	4,5
15,6	6,0
15,9	3,0
16,0	4,0
16,2	3,0
16,3	5,0
16,4	8,0
16,7	7,0
16,8	5,0
16,9	5,0
17,1	9,5
17,2	12,0
17,5	11,0
17,6	11,0
17,7	12,0
17,9	15,0
18,0	15,0
18,3	23,0
18,5	10,0
18,6	12,0
18,7	14,0
18,9	15,0
19,1	14,0
19,2	12,0
19,4	16,0
19,5	21,0
19,7	16,0
19,9	17,0
20,0	22,0
20,2	22,0
20,3	22,0
20,4	17,0
20,7	28,0
20,8	26,0
20,9	30,0
21,0	33,0
21,1	20,0
21,2	32,0
21,5	26,0
21,6	24,0
21,7	19,0
21,8	23,0
21,9	28,0
22,0	32,0
22,2	23,0
22,4	24,0
22,5	15,0
22,6	34,0
22,8	25,0
23,0	21,0
23,2	24,0
23,3	26,0
23,4	32,0
23,6	39,0
23,9	39,0
24,0	45,0
24,1	28,0
24,2	39,0
24,4	31,0
24,7	35,0
24,8	36,0
24,9	29,0
25,0	43,5
25,2	39,0
25,5	42,0
25,6	35,0
25,7	30,0
25,8	30,0
25,9	28,0
26,0	32,0
26,2	44,0
26,4	32,0
26,5	25,0
26,6	36,5
26,8	36,0
27,0	37,0
27,2	42,0
27,3	38,0
27,4	31,5
27,6	37,0
27,9	39,0
28,0	29,0
28,1	22,0
28,2	33,5
28,4	40,0
28,6	23,0
28,8	28,0
28,9	35,0
29,0	34,0
29,2	32,0
29,4	31,0
29,6	44,0
29,7	27,0
29,8	30,0
29,9	35,0
30,2	31,0
30,3	26,0
30,5	34,5
30,6	32,0
30,7	33,0
31,0	34,0
31,1	34,0
31,3	35,5
31,4	34,0
31,5	31,0
31,8	32,0
31,9	24,0
32,1	30,5
32,3	31,0
32,6	41,0
32,7	29,0
32,8	22,0
32,9	32,0
33,1	26,0
33,4	26,0
33,5	30,0
33,6	27,0
33,7	26,0
33,9	29,0
34,2	23,0
34,3	33,0
34,4	32,0
34,5	28,5
34,8	32,0
35,0	27,0
35,2	26,0
35,3	25,5
35,6	24,0
35,8	20,0
36,0	26,0
36,1	26,0
36,2	18,0
36,4	18,0
36,6	19,0
36,8	21,0
36,9	20,5
37,0	19,0
37,2	26,0
37,5	25,0
37,6	25,0
37,7	33,5
37,8	22,0
38,0	39,0
38,2	31,0
38,4	39,0
38,5	76,8
38,8	120,0
39,0	150,0
39,2	168,0
39,3	197,8
39,6	151,0
39,9	147,0
40,0	91,0
40,1	35,0
40,2	35,0
40,5	31,0
40,7	34,0
40,8	25,0
40,9	24,5
41,0	18,0
41,3	20,0
41,5	29,0
