Angle	Impulses
a/º	Z/#/0,2s

8,0	2,4
8,1	8,0
8,3	8,0
8,5	4,0
8,7	3,0
8,9	4,0
9,2	5,0
9,4	4,0
9,7	6,0
10,0	4,0
10,2	4,0
10,5	9,0
10,8	3,0
11,0	7,0
11,3	4,0
11,6	9,0
11,8	7,0
12,1	3,0
12,4	4,0
12,6	6,0
13,0	9,0
13,2	4,0
13,4	7,0
13,8	5,0
14,0	3,0
14,3	6,0
14,6	9,0
14,9	6,0
15,1	5,0
15,4	6,0
15,7	5,0
15,9	7,0
16,2	14,0
16,5	15,0
16,7	8,0
17,1	13,0
17,3	11,0
17,6	13,0
17,9	16,0
18,1	20,0
18,4	16,0
18,7	15,0
19,0	20,0
19,3	17,0
19,6	23,0
19,8	20,0
20,1	17,0
20,4	25,0
20,6	20,0
20,9	31,0
21,2	18,0
21,4	26,0
21,8	20,0
22,0	16,0
22,3	30,0
22,6	20,0
22,9	31,0
23,1	19,0
23,4	21,0
23,7	14,0
23,9	34,0
24,2	17,0
24,5	18,0
24,7	27,0
25,0	15,0
25,3	24,0
25,5	19,0
25,9	21,0
26,1	24,0
26,4	22,0
26,7	14,0
27,0	26,0
27,2	22,0
27,5	14,0
27,8	21,0
28,0	14,0
28,3	16,0
28,6	23,0
28,8	17,0
29,2	16,0
29,4	17,0
29,7	19,0
30,0	12,0
30,2	16,0
30,5	17,0
30,8	17,0
31,0	13,0
31,3	17,0
31,6	19,0
31,8	15,0
32,1	21,0
32,4	11,0
32,7	18,0
32,9	14,0
33,3	18,0
33,5	14,0
33,8	5,0
34,1	15,0
34,3	10,0
34,6	14,0
34,9	15,0
35,1	18,0
35,5	11,0
35,8	10,0
35,9	9,0
36,3	9,0
36,6	10,0
36,7	10,0
37,1	12,0
37,4	7,0
37,5	12,0
37,9	13,0
38,2	13,0
38,4	8,0
38,8	9,0
39,0	10,0
39,2	14,0
39,6	25,0
39,8	30,0
40,1	19,0
40,4	19,0
40,6	10,0
40,9	9,0
41,3	6,0
41,5	9,0
41,7	15,0
42,1	9,0
42,3	7,0
42,6	8,0
42,9	32,0
43,1	40,0
43,4	108,0
43,8	197,0
44,0	280,0
44,3	482,0
44,6	550,0
44,8	515,0
45,2	94,0
45,5	38,0
45,6	16,0
46,0	22,0
46,3	15,0
46,5	22,0
46,8	17,0
47,1	14,0
47,3	7,0
47,7	11,0
47,9	11,0
48,1	12,0
48,5	15,0
48,7	12,0
48,9	5,0
49,3	7,0
49,6	9,0
49,8	11,0
50,2	11,0
50,4	15,0
50,6	5,0
51,0	12,0
51,2	12,0
51,5	5,0
51,8	7,0
52,0	9,0
52,3	7,0
52,7	1,0
52,9	2,0
53,2	7,0
53,5	7,0
53,7	5,0
54,0	6,0
54,3	9,0
54,5	8,0
54,8	11,0
55,1	3,0
55,3	8,0
55,7	8,0
56,0	6,0
56,2	2,0
56,5	2,0
56,8	7,0
56,9	5,0
57,3	11,0
57,6	6,0
57,7	5,0
58,1	4,0
58,4	4,0
58,6	4,0
59,0	5,0
59,2	8,0
59,4	5,0
59,8	8,0
60,1	4,0
60,3	5,0
60,7	6,0
60,9	3,0
61,1	5,0
61,5	6,0
61,7	3,0
61,9	4,0
62,3	6,0
62,5	3,0
62,8	8,0
63,1	3,0
63,3	3,0
63,6	4,0
64,0	1,0
64,1	3,0
64,5	1,0
64,8	4,0
65,0	3,0
65,3	2,0
65,6	6,0
65,8	3,0
66,1	3,0
66,4	2,0
66,6	1,0
66,9	1,0
67,3	6,0
67,4	3,0
67,8	1,0
68,1	2,0
68,2	2,0
68,7	1,0
68,9	1,0
69,1	3,0
69,5	3,0
69,8	1,0
69,9	4,0
70,3	3,0
70,6	2,0
70,8	3,0
71,2	1,0
71,4	2,0
71,6	2,0
72,0	5,0
72,1	3,0
72,4	1,0
72,8	5,0
73,0	4,0
73,2	2,0
73,6	3,0
73,8	4,0
74,0	4,0
74,4	4,0
74,6	4,0
74,9	4,0
75,2	1,0
75,4	1,0
75,7	2,0
76,1	1,0
76,2	2,0
76,5	3,0
76,9	2,0
77,0	2,0
77,3	1,0
77,7	1,0
77,8	2,0
78,2	1,0
78,5	3,0
78,6	2,0
79,1	2,0
79,4	1,0
79,5	2,0
79,9	2,0
80,2	2,0
80,3	2,0
80,7	5,0
81,0	2,0
81,2	2,0
81,6	2,0
81,9	2,0
82,0	1,0
82,4	2,0
82,7	1,0
82,8	1,0
83,3	1,0
83,5	2,0
83,6	1,0
84,1	2,0
84,3	2,0
84,5	2,0
84,9	1,0
85,1	1,0
85,3	1,0
85,8	1,0
86,0	1,0
86,2	1,0
86,6	1,0
86,8	3,0
87,0	5,0
87,5	3,0
87,6	5,0
87,8	3,0
88,2	1,0
88,3	3,0
88,6	3,0
89,0	1,0
