Angle	Impulses
a/º	Z/#/0,2s

8,0	1,0
8,1	1,0
8,2	1,0
8,4	1,0
8,5	1,0
8,6	1,0
8,8	1,0
8,9	1,0
9,0	1,0
9,2	1,0
9,3	1,0
9,5	1,0
9,6	1,0
9,7	1,0
9,9	1,0
10,0	2,0
10,1	1,0
10,3	1,0
10,4	2,0
10,5	2,0
10,7	1,0
10,8	1,0
10,9	1,0
11,1	1,0
11,2	2,0
11,4	1,0
11,5	1,0
11,6	1,0
11,8	1,0
11,9	3,0
12,0	2,0
12,2	1,0
12,3	1,0
12,4	1,0
12,6	2,0
12,7	1,0
12,8	3,0
13,0	1,0
13,2	1,5
13,4	1,0
13,6	1,0
13,8	1,0
14,0	1,0
14,1	1,0
14,2	1,0
14,4	2,0
14,5	2,0
14,7	1,0
14,8	2,0
14,9	1,0
15,1	1,0
15,2	1,0
15,3	2,0
15,5	1,0
15,6	2,0
15,7	1,0
15,9	1,0
16,0	1,0
16,1	1,0
16,3	1,0
16,4	1,0
16,5	1,0
16,7	1,0
16,8	1,0
17,0	1,0
17,2	1,0
17,3	1,0
17,4	1,0
17,6	1,0
17,7	2,0
17,8	2,0
18,0	2,0
18,1	1,0
18,2	2,0
18,4	1,0
18,5	1,0
18,6	1,0
18,8	2,0
18,9	1,0
19,0	1,0
19,2	1,0
19,3	1,0
19,5	1,0
19,6	1,0
19,7	1,0
19,9	1,0
20,0	1,0
20,1	1,0
20,3	1,0
20,4	1,0
20,5	2,0
20,7	2,0
20,8	2,0
20,9	1,0
21,1	1,0
21,2	1,0
21,3	1,0
21,5	3,0
21,6	1,0
21,7	1,0
21,9	1,0
22,0	2,0
22,2	2,0
22,3	2,0
22,4	1,0
22,6	1,0
22,7	1,0
22,8	1,0
23,0	2,0
23,1	1,0
23,2	1,0
23,4	2,0
23,5	2,0
23,6	2,0
23,8	2,0
23,9	1,0
24,0	1,0
24,2	1,0
24,3	1,0
24,4	2,0
24,6	1,0
24,8	1,0
25,0	1,0
25,2	1,5
25,4	2,0
25,6	1,5
25,8	1,0
26,0	1,0
26,1	3,0
26,3	2,0
26,4	3,0
26,5	2,0
26,7	1,0
26,8	1,0
26,9	1,0
27,1	2,0
27,2	1,0
27,3	1,0
27,5	1,0
27,6	2,0
27,7	1,0
27,9	1,0
28,0	1,0
28,1	1,0
28,4	1,0
28,6	2,0
28,8	3,0
28,9	1,0
29,0	1,0
29,2	1,0
29,3	1,0
29,4	1,0
29,6	1,0
29,7	1,0
29,9	2,0
30,0	1,0
30,1	1,0
30,3	1,0
30,4	1,0
30,5	2,0
30,7	1,0
30,9	1,5
31,1	1,0
31,3	1,5
31,5	2,0
31,7	1,0
31,9	1,0
32,1	1,0
32,3	1,0
32,5	2,5
32,7	1,0
32,9	1,0
33,1	1,0
33,3	1,5
33,6	2,0
33,7	1,0
33,9	1,0
34,1	2,5
34,3	3,0
34,4	2,0
34,5	3,0
34,7	2,0
34,8	1,0
34,9	1,0
35,1	1,0
35,2	3,0
35,3	3,0
35,5	1,0
35,7	1,5
35,9	2,0
36,1	1,0
36,2	1,0
36,4	2,0
36,5	1,0
36,6	2,0
36,8	2,0
36,9	1,0
37,0	1,0
37,2	2,0
37,3	1,0
37,4	2,0
37,6	1,0
37,7	1,0
37,8	2,0
38,0	1,0
38,1	2,0
38,2	2,0
38,4	1,0
38,5	1,0
38,6	2,0
38,8	2,0
