Angle	Impulses
a/º	Z/#/0,2s

8,0	3,0
8,2	2,0
8,5	3,0
8,7	1,0
9,0	1,0
9,3	1,0
9,5	1,0
9,8	2,0
10,1	1,0
10,3	2,0
10,6	2,0
10,9	2,0
11,1	1,0
11,5	2,0
11,7	2,0
12,0	3,0
12,3	7,0
12,6	3,0
12,8	4,0
13,1	4,0
13,4	5,0
13,7	5,0
14,0	6,0
14,2	8,0
14,5	7,0
14,8	5,0
15,0	3,0
15,3	5,0
15,6	6,0
15,8	10,0
16,2	7,0
16,4	11,0
16,7	7,0
17,0	7,0
17,3	18,0
17,5	17,0
17,8	18,0
18,1	16,0
18,4	12,0
18,7	22,0
19,0	24,0
19,2	21,0
19,5	22,0
19,8	23,0
20,0	18,0
20,3	33,0
20,6	26,0
20,9	25,0
21,2	26,0
21,4	27,0
21,7	29,0
22,0	28,0
22,3	34,0
22,5	32,0
22,8	37,0
23,1	29,0
23,4	32,0
23,7	35,0
23,9	40,0
24,2	35,0
24,5	35,0
24,7	36,0
25,0	39,0
25,3	35,0
25,5	39,0
25,8	40,0
26,1	34,0
26,4	45,0
26,7	31,0
27,0	30,0
27,1	39,0
27,5	28,0
27,8	43,0
28,0	30,0
28,3	36,0
28,6	37,0
28,7	23,0
29,1	33,0
29,4	31,0
29,6	33,0
29,9	37,0
30,2	32,0
30,4	31,0
30,8	34,0
31,0	23,0
31,2	39,0
31,6	38,0
31,8	32,0
32,1	29,0
32,4	29,0
32,7	20,0
32,9	24,0
33,3	25,0
33,5	25,0
33,8	27,0
34,1	28,0
34,3	30,0
34,6	26,0
34,9	22,0
35,1	28,0
35,4	26,0
35,8	31,0
36,0	30,0
36,2	26,0
36,6	20,0
36,7	31,0
37,1	21,0
37,4	23,0
37,6	27,0
37,9	22,0
38,2	23,0
38,4	30,0
38,8	33,0
39,0	75,0
39,2	66,0
39,6	153,0
39,8	207,0
40,0	194,0
40,4	165,0
40,6	37,0
40,8	23,0
41,2	33,0
41,5	29,0
41,6	31,0
42,0	23,0
42,3	26,0
42,5	29,0
42,9	22,0
43,1	43,0
43,3	97,0
43,7	137,0
43,9	316,0
44,1	532,0
44,5	564,0
44,7	706,0
45,0	165,0
45,4	96,0
45,6	20,0
45,9	21,0
46,2	18,0
46,4	17,0
46,7	15,0
47,0	17,0
47,2	15,0
47,5	8,0
47,8	9,0
48,0	13,0
48,3	10,0
48,6	22,0
48,8	10,0
49,1	12,0
49,4	8,0
49,6	10,0
49,9	12,0
50,2	6,0
50,4	10,0
50,8	7,0
51,1	13,0
51,2	11,0
51,6	8,0
51,9	6,0
52,0	7,0
52,4	6,0
52,7	14,0
52,9	10,0
53,3	10,0
53,5	9,0
53,7	10,0
54,1	13,0
54,4	8,0
54,5	9,0
54,9	4,0
55,2	7,0
55,4	9,0
55,8	8,0
56,0	6,0
56,2	5,0
56,6	3,0
56,8	5,0
57,0	2,0
57,4	10,0
57,6	2,0
57,9	3,0
58,3	4,0
58,5	2,0
58,7	4,0
59,1	7,0
59,3	5,0
59,6	9,0
59,9	3,0
60,1	4,0
60,4	4,0
60,7	3,0
60,9	5,0
61,2	6,0
61,5	5,0
61,7	3,0
62,0	2,0
62,4	9,0
62,5	5,0
62,9	4,0
63,2	5,0
63,3	6,0
63,7	9,0
64,0	4,0
64,1	5,0
64,5	5,0
64,8	4,0
64,9	3,0
65,3	7,0
65,6	4,0
65,7	4,0
66,2	4,0
66,4	3,0
66,6	2,0
67,0	3,0
67,2	2,0
67,4	3,0
67,8	4,0
68,0	3,0
68,2	3,0
68,6	1,0
68,9	6,0
69,1	3,0
69,5	4,0
69,7	6,0
70,0	3,0
70,3	4,0
70,5	2,0
70,8	3,0
71,2	2,0
71,3	4,0
71,6	4,0
72,0	2,0
72,1	2,0
72,4	4,0
72,8	2,0
72,9	5,0
73,2	2,0
73,5	2,0
73,7	3,0
74,0	1,0
74,4	4,0
74,5	5,0
74,9	2,0
75,2	5,0
75,3	4,0
75,7	3,0
76,0	4,0
76,1	6,0
76,6	2,0
76,8	6,0
77,0	4,0
77,4	4,0
77,7	1,0
77,8	3,0
78,3	3,0
78,5	3,0
78,7	3,0
79,1	3,0
79,3	1,0
79,5	2,0
80,0	4,0
80,1	2,0
80,4	2,0
80,8	4,0
81,0	3,0
81,3	4,0
81,7	3,0
81,8	3,0
82,1	4,0
82,5	5,0
82,6	2,0
82,9	1,0
83,2	4,0
83,3	3,0
83,8	2,0
84,1	3,0
84,2	1,0
84,7	3,0
84,9	4,0
85,1	7,0
85,5	1,0
85,8	1,0
85,9	5,0
86,4	6,0
86,6	8,0
86,8	22,0
87,2	12,0
87,4	30,0
87,6	9,0
88,1	4,0
88,2	4,0
88,5	6,0
88,9	1,0
89,0	1,0
