Angle	Impulses
a/º	Z/#/5s

11,8	342,0
12,0	320,0
12,6	317,0
12,8	422,0
13,4	512,0
13,6	607,0
14,2	782,0
14,4	916,0
15,0	1095,0
15,2	1256,0
15,8	1394,0
16,0	1544,0
16,6	1779,0
16,8	2030,0
17,4	2133,0
17,6	2224,0
18,2	2601,0
18,4	2961,0
19,1	2956,0
19,2	3195,0
19,9	3342,0
20,0	3552,0
20,7	3774,0
20,8	3892,0
21,5	4137,0
21,6	4209,0
22,3	4330,0
22,5	4317,0
23,1	4404,0
23,2	4436,0
23,9	4473,0
24,0	4602,0
24,7	4801,2
24,8	4909,2
25,5	4927,9
25,6	4699,4
26,3	4500,0
26,4	4338,0
27,1	4011,0
27,2	3834,0
28,0	3711,0
28,1	3829,0
28,8	3868,0
28,9	3826,0
29,6	3877,0
29,7	3791,0
30,4	3858,0
30,5	3758,0
31,2	3740,0
31,3	3771,0
32,0	3636,0
32,9	3442,5
33,6	3481,0
33,7	3410,0
34,5	3343,5
35,2	3169,0
36,0	3014,0
36,8	3015,5
37,6	3057,5
38,3	2964,0
38,4	3075,0
39,2	3799,0
