Angle	Impulses
a/º	Z/#/0,2s

8,7	147,9
8,8	120,6
8,9	159,2
9,0	104,8
9,1	160,0
9,2	43,0
9,4	43,0
9,7	23,0
9,9	31,0
10,2	26,0
10,5	16,0
10,7	18,0
11,0	20,0
11,3	24,0
11,6	31,0
11,8	31,0
12,1	28,0
12,4	42,0
12,6	43,0
12,9	39,0
13,2	52,0
13,4	66,0
13,7	65,0
14,0	59,0
14,2	85,0
14,6	63,0
14,8	79,0
15,1	89,0
15,4	75,0
15,6	110,0
15,9	95,0
16,2	101,0
16,5	127,0
16,7	106,0
17,0	113,0
17,3	132,0
17,5	149,0
17,8	121,0
18,1	142,0
18,3	185,0
18,6	195,0
18,9	155,0
19,2	189,0
19,5	176,0
19,7	171,0
20,0	200,0
20,3	218,0
20,5	207,0
20,9	215,0
21,2	200,0
21,4	190,0
21,7	223,0
22,0	200,0
22,2	203,0
22,6	215,0
22,9	236,0
23,1	240,0
23,4	177,0
23,7	235,0
23,9	215,0
24,2	221,0
24,5	234,0
24,7	234,0
25,1	203,0
25,3	215,0
25,5	225,0
25,8	186,0
26,1	212,0
26,3	174,0
26,7	158,0
26,9	157,0
27,1	155,0
27,5	190,0
27,7	171,0
27,9	169,0
28,3	155,0
28,6	139,0
28,8	174,0
29,1	153,0
29,4	175,0
29,6	175,0
29,9	140,0
30,2	162,0
30,4	157,0
30,8	173,0
31,0	130,0
31,2	167,0
31,6	148,0
31,8	169,0
32,0	168,0
32,4	119,0
32,6	171,0
32,9	157,0
33,2	160,0
33,4	148,0
33,7	140,0
34,0	124,0
34,2	127,0
34,4	131,0
34,8	110,0
35,0	135,0
35,3	128,0
35,6	129,0
35,8	145,0
36,1	141,0
36,4	131,0
36,6	141,0
36,9	122,0
37,2	136,0
37,4	137,0
37,7	140,0
38,1	101,0
38,3	145,0
38,6	243,0
38,9	351,0
39,1	599,0
39,4	718,0
39,8	663,0
39,9	663,0
40,3	293,0
40,6	204,0
40,8	139,0
41,1	132,0
41,4	132,0
41,6	140,0
41,9	110,0
42,2	107,0
42,4	122,0
42,7	120,0
43,0	296,0
43,2	371,0
43,5	984,0
43,9	1771,0
44,0	1945,0
44,4	2013,0
44,7	1097,0
44,9	915,0
45,3	236,0
45,6	111,0
45,7	110,0
46,1	94,0
46,4	78,0
46,5	81,0
46,9	79,0
47,2	70,0
47,4	59,0
47,8	71,0
48,0	55,0
48,2	58,0
48,6	64,0
48,8	74,0
49,0	54,0
49,4	61,0
49,6	46,0
49,8	65,0
50,2	60,0
50,4	53,0
50,6	58,0
51,0	56,0
51,2	55,0
51,5	52,0
51,9	59,0
52,1	43,0
52,3	66,0
52,7	51,0
52,9	49,0
53,2	36,0
53,6	43,0
53,7	42,0
54,0	36,0
54,4	40,0
54,5	38,0
54,9	32,0
55,2	24,0
55,4	24,0
55,7	27,0
56,1	34,0
56,2	30,0
56,5	27,0
56,9	41,0
57,0	30,0
57,4	41,0
57,7	34,0
57,8	22,0
58,2	25,0
58,6	25,0
58,7	17,0
59,1	34,0
59,4	20,0
59,5	28,0
60,0	31,0
60,2	20,0
60,4	30,0
60,7	30,0
61,0	22,0
61,2	21,0
61,6	30,0
61,8	23,0
62,0	24,0
62,4	14,0
62,6	12,0
62,8	21,0
63,2	24,0
63,4	15,0
63,6	22,0
64,1	14,0
64,3	20,0
64,5	22,0
64,9	24,0
65,1	16,0
65,3	24,0
65,8	18,0
65,9	20,0
66,2	19,0
66,6	22,0
66,8	22,0
67,0	23,0
67,4	16,0
67,6	16,0
67,8	12,0
68,2	15,0
68,4	22,0
68,7	17,0
69,1	14,0
69,2	12,0
69,5	15,0
69,9	18,0
70,0	10,0
70,3	17,0
70,7	15,0
70,8	17,0
71,2	13,0
71,5	20,0
71,6	22,0
72,0	15,0
72,4	18,0
72,5	12,0
72,8	14,0
73,2	11,5
73,6	12,0
74,0	10,0
74,1	23,0
74,5	10,0
74,8	11,0
74,9	14,0
75,4	18,0
75,7	10,0
75,8	14,0
76,3	19,0
76,6	18,0
76,7	12,0
77,1	14,0
77,4	15,0
77,5	16,0
77,9	19,0
78,2	13,0
78,7	8,0
78,9	13,0
79,1	16,0
79,5	16,0
79,7	14,0
79,9	15,0
80,3	13,0
80,6	15,0
80,7	17,0
81,1	23,0
81,3	15,0
81,5	10,0
81,9	20,0
82,1	15,0
82,3	15,0
82,7	10,0
82,9	14,0
83,1	13,0
83,6	13,0
83,8	22,0
84,0	14,0
84,5	7,0
84,6	21,0
84,9	11,0
85,3	15,0
85,5	11,0
85,8	20,0
86,2	17,0
86,3	23,0
86,7	40,0
87,0	78,0
87,1	84,0
87,5	131,0
87,8	92,0
87,9	77,0
88,3	21,0
88,7	19,0
