Angle	Impulses
a/º	Z/#/5s

12,2	154,0
12,4	137,0
13,0	176,0
13,2	219,0
13,8	259,0
14,0	358,0
14,6	398,0
14,9	531,0
15,5	578,0
15,7	698,0
16,3	804,0
16,5	888,0
17,1	962,0
17,3	1024,0
17,9	1182,0
18,1	1158,0
18,7	1298,0
18,9	1447,0
19,6	1407,0
19,7	1493,0
20,4	1544,0
20,6	1650,0
21,2	1656,0
21,4	1726,0
22,0	1769,0
22,2	1847,0
22,9	1831,0
23,0	1751,0
23,6	1794,0
23,7	1765,5
23,8	1871,0
24,4	1723,0
24,5	1731,0
25,2	1890,0
25,3	1938,0
26,0	1946,0
26,1	1759,0
26,9	1646,0
27,0	1612,0
27,7	1420,0
27,8	1410,0
28,6	1361,5
29,4	1435,5
30,2	1968,8
31,0	2423,5
31,8	2320,0
32,6	2248,0
32,7	2172,0
33,5	2060,5
34,3	2089,0
35,1	1922,0
35,2	1888,0
35,9	1796,0
36,7	1683,0
36,8	1657,0
37,6	1623,0
38,4	1537,5
39,2	1446,5
40,0	2716,5
